iter	Passed	Remaining
869	16645	2487
870	16663	2467
871	16682	2448
872	16700	2429
873	16718	2410
874	16738	2391
875	16756	2371
876	16774	2352
877	16794	2333
878	16812	2314
879	16831	2295
880	16850	2275
881	16870	2257
882	16889	2237
883	16906	2218
884	16924	2199
885	16942	2180
886	16961	2160
887	16979	2141
888	16999	2122
889	17019	2103
890	17036	2084
891	17059	2065
892	17079	2046
893	17098	2027
894	17116	2008
895	17135	1988
896	17153	1969
897	17172	1950
898	17190	1931
899	17207	1911
900	17229	1893
901	17251	1874
902	17272	1855
903	17297	1836
904	17320	1818
905	17340	1799
906	17361	1780
907	17380	1761
908	17399	1741
909	17418	1722
910	17437	1703
911	17454	1684
912	17472	1664
913	17490	1645
914	17510	1626
915	17529	1607
916	17547	1588
917	17565	1569
918	17585	1549
919	17604	1530
920	17623	1511
921	17641	1492
922	17659	1473
923	17678	1454
924	17696	1434
925	17716	1415
926	17735	1396
927	17754	1377
928	17774	1358
929	17792	1339
930	17811	1320
931	17829	1300
932	17848	1281
933	17865	1262
934	17884	1243
935	17905	1224
936	17923	1205
937	17943	1186
938	17961	1166
939	17979	1147
940	17998	1128
941	18016	1109
942	18036	1090
943	18055	1071
944	18077	1052
945	18098	1033
946	18118	1014
947	18137	994
948	18156	975
949	18176	956
950	18196	937
951	18217	918
952	18237	899
953	18257	880
954	18276	861
955	18296	842
956	18316	822
957	18335	803
958	18354	784
959	18373	765
960	18392	746
961	18412	727
962	18432	708
963	18450	689
964	18469	669
965	18489	650
966	18510	631
967	18529	612
968	18549	593
969	18568	574
970	18588	555
971	18607	536
972	18625	516
973	18643	497
974	18662	478
975	18681	459
976	18699	440
977	18718	421
978	18736	401
979	18754	382
980	18775	363
981	18796	344
982	18816	325
983	18836	306
984	18856	287
985	18876	268
986	18894	248
987	18915	229
988	18935	210
989	18954	191
990	18973	172
991	18994	153
992	19014	134
993	19032	114
994	19050	95
995	19068	76
996	19088	57
997	19108	38
998	19128	19
999	19150	0
